Reward,Length,t,Episode,Loss
0.0,42,16.258622,401,
0.0,43,16.258622,402,
0.0,39,16.302854,403,
0.0,39,16.374235,404,
0.0,53,16.384775,405,
0.0,24,16.415031,406,
0.0,8,16.443061,407,
0.0,22,16.46643,408,
0.0,19,16.562024,409,
0.0,100,16.62092,410,
0.0,82,16.639116,411,
0.0,25,16.662008,412,
0.0,51,16.684996,413,
0.0,41,16.713959,414,
0.0,60,16.78203,415,
0.0,31,16.893957,416,
0.0,34,16.904163,417,
0.0,37,16.904163,418,
0.0,33,16.934901,419,
0.0,50,16.947411,420,
0.0,23,16.966229,421,
0.0,14,17.051306,422,
0.0,47,17.067885,423,
0.0,16,17.077784,424,
0.0,22,17.089559,425,
0.0,15,17.178522,426,
0.0,100,17.198864,427,
0.0,15,17.209213,428,
0.0,7,17.238298,429,
0.0,50,17.285085,430,
0.0,5,17.291121,431,
0.0,9,17.291121,432,
0.0,24,17.291121,433,
0.0,34,17.331652,434,
0.0,55,17.331652,435,
0.0,7,17.341742,436,
0.0,62,17.413794,437,
0.0,23,17.426401,438,
0.0,12,17.440433,439,
0.0,17,17.480065,440,
0.0,18,17.583479,441,
0.0,39,17.607472,442,
0.0,33,17.658185,443,
0.0,50,17.698543,444,
0.0,37,17.769555,445,
0.0,14,17.809402,446,
0.0,58,17.809402,447,
0.0,51,17.821535,448,
0.0,70,17.853828,449,
0.0,9,17.890738,450,
0.0,47,17.951829,451,
0.0,32,18.044276,452,
0.0,46,18.044276,453,
0.0,64,18.126192,454,
0.0,40,18.150604,455,
0.0,18,18.20113,456,
0.0,49,18.248323,457,
0.0,25,18.258494,458,
0.0,19,18.312392,459,
0.0,8,18.350309,460,
0.0,15,18.391151,461,
0.0,23,18.411606,462,
0.0,62,18.452685,463,
0.0,17,18.52496,464,
0.0,11,18.545549,465,
0.0,45,18.545549,466,
0.0,5,18.563629,467,
0.0,35,18.608537,468,
0.0,88,18.630853,469,
0.0,14,18.657407,470,
0.0,18,18.728096,471,
0.0,11,18.728096,472,
0.0,88,18.739604,473,
0.0,19,18.779521,474,
0.0,14,18.779521,475,
0.0,56,18.831224,476,
0.0,17,18.87159,477,
0.0,55,18.87159,478,
0.0,21,18.89426,479,
0.0,25,18.93266,480,
0.0,15,18.944442,481,
0.0,18,19.013595,482,
0.0,9,19.013595,483,
0.0,19,19.013595,484,
0.0,19,19.082477,485,
0.0,65,19.088479,486,
0.0,42,19.115057,487,
0.0,30,19.125503,488,
0.0,21,19.176016,489,
0.0,13,19.206395,490,
0.0,18,19.206395,491,
0.0,30,19.253956,492,
0.0,32,19.293775,493,
0.0,17,19.354353,494,
0.0,71,19.371546,495,
0.0,17,19.395919,496,
0.0,19,19.443222,497,
0.0,13,19.504216,498,
0.0,19,19.544835,499,
0.0,8,19.591983,500,
0.0,67,19.686504,501,
0.0,28,19.686504,502,
0.0,41,19.717371,503,
0.0,20,19.717371,504,
0.0,57,19.747173,505,
0.0,80,19.828634,506,
0.0,69,19.869774,507,
0.0,25,19.869774,508,
0.0,27,19.905232,509,
0.0,31,19.940745,510,
0.0,30,19.961441,511,
0.0,12,19.992275,512,
0.0,17,20.002553,513,
0.0,60,20.053002,514,
0.0,53,20.094399,515,
0.0,12,20.10452,516,
0.0,21,20.135246,517,
0.0,8,20.176323,518,
0.0,16,20.237754,519,
0.0,24,20.257861,520,
0.0,22,20.309195,521,
0.0,45,20.309195,522,
0.0,40,20.340359,523,
0.0,6,20.350576,524,
0.0,7,20.371248,525,
0.0,9,20.422518,526,
0.0,29,20.453141,527,
0.0,82,20.523971,528,
0.0,13,20.523971,529,
0.0,100,20.605591,530,
0.0,19,20.618129,531,
0.0,37,20.646106,532,
0.0,66,20.680406,533,
0.0,48,20.696894,534,
0.0,16,20.732796,535,
0.0,11,20.758152,536,
0.0,6,20.768746,537,
0.0,34,20.790689,538,
0.0,35,20.798642,539,
0.0,8,20.859743,540,
0.0,36,20.890509,541,
0.0,17,20.910735,542,
0.0,23,20.963274,543,
0.0,100,21.013682,544,
0.0,16,21.051966,545,
0.0,44,21.051966,546,
0.0,56,21.092563,547,
0.0,11,21.102903,548,
0.0,19,21.123926,549,
0.0,30,21.145267,550,
0.0,21,21.214459,551,
0.0,25,21.246321,552,
0.0,15,21.255671,553,
0.0,34,21.398462,554,
0.0,22,21.430841,555,
0.0,31,21.472868,556,
0.0,77,21.484554,557,
0.0,92,21.495948,558,
0.0,11,21.519899,559,
0.0,8,21.529902,560,
0.0,40,21.560685,561,
0.0,12,21.611747,562,
0.0,31,21.632016,563,
0.0,12,21.642395,564,
0.0,23,21.663058,565,
0.0,21,21.683875,566,
0.0,8,21.710454,567,
0.0,16,21.725143,568,
0.0,88,21.766626,569,
0.0,19,21.766626,570,
0.0,19,21.807326,571,
0.0,100,21.838285,572,
0.0,12,21.848623,573,
0.0,21,21.869019,574,
0.0,43,21.962277,575,
0.0,29,21.98271,576,
0.0,24,22.031499,577,
0.0,35,22.076375,578,
0.0,29,22.0956,579,
0.0,16,22.105736,580,
0.0,36,22.119917,581,
0.0,13,22.136109,582,
0.0,88,22.146385,583,
0.0,13,22.192072,584,
0.0,15,22.208641,585,
0.0,76,22.270692,586,
0.0,27,22.291194,587,
0.0,12,22.301381,588,
0.0,6,22.311621,589,
0.0,29,22.35238,590,
0.0,51,22.35238,591,
0.0,21,22.37273,592,
0.0,42,22.475188,593,
0.0,29,22.515291,594,
0.0,24,22.560097,595,
0.0,9,22.658325,596,
0.0,25,22.751331,597,
0.0,31,22.761519,598,
0.0,79,22.771764,599,
0.0,15,22.771764,600,
0.0,54,22.782329,601,
0.0,70,22.893764,602,
0.0,61,22.893764,603,
0.0,20,22.934377,604,
0.0,24,22.962922,605,
0.0,33,23.029032,606,
0.0,36,23.036394,607,
0.0,38,23.036394,608,
0.0,90,23.086891,609,
0.0,11,23.113314,610,
0.0,15,23.137616,611,
0.0,41,23.178394,612,
0.0,22,23.178394,613,
0.0,44,23.199112,614,
0.0,35,23.210222,615,
0.0,11,23.260076,616,
0.0,20,23.310385,617,
0.0,31,23.33879,618,
0.0,47,23.419895,619,
0.0,56,23.60427,620,
0.0,96,23.634762,621,
0.0,48,23.642302,622,
0.0,41,23.665204,623,
0.0,62,23.665204,624,
0.0,9,23.748968,625,
0.0,19,23.759358,626,
0.0,10,23.841005,627,
1.0,65,23.85122,628,
0.0,100,23.873802,629,
0.0,29,23.881835,630,
0.0,17,23.896855,631,
0.0,14,24.020943,632,
0.0,76,24.046402,633,
0.0,52,24.111075,634,
0.0,11,24.117563,635,
0.0,36,24.145848,636,
0.0,42,24.174922,637,
0.0,14,24.248412,638,
0.0,76,24.248412,639,
0.0,18,24.248412,640,
0.0,47,24.260584,641,
0.0,6,24.307319,642,
0.0,6,24.307319,643,
0.0,13,24.360032,644,
0.0,52,24.401331,645,
0.0,22,24.455313,646,
0.0,28,24.455313,647,
0.0,77,24.457385,648,
0.0,19,24.498065,649,
